aX,aY,aZ,gX,gY,gZ
-0.051,-0.346,0.309,-14.910,-125.860,-70.420
-0.034,-0.453,0.380,-6.020,-119.280,-71.330
-0.030,-0.498,0.370,3.150,-117.740,-73.360
-0.012,-0.542,0.291,11.970,-110.670,-77.210
0.030,-0.584,0.244,16.100,-95.200,-85.330
0.092,-0.571,0.284,12.950,-85.750,-91.770
0.129,-0.508,0.373,10.920,-84.000,-93.590
0.174,-0.414,0.396,15.050,-84.420,-88.480
0.208,-0.398,0.446,16.940,-87.640,-84.420
0.206,-0.411,0.422,18.480,-89.600,-81.760
0.207,-0.482,0.386,17.710,-88.760,-85.190
0.228,-0.522,0.354,7.840,-84.630,-92.260
0.255,-0.470,0.327,-5.250,-79.240,-95.620
0.268,-0.400,0.286,-34.300,-72.380,-94.220
0.301,-0.402,0.271,-27.160,-64.260,-95.760
0.324,-0.420,0.314,-34.720,-58.100,-99.330
0.319,-0.411,0.306,-38.500,-55.160,-99.890
0.327,-0.421,0.259,-34.790,-50.750,-101.150
0.331,-0.515,0.218,-34.230,-43.540,-107.870
0.349,-0.533,0.214,-32.830,-31.570,-113.120
0.357,-0.523,0.297,-28.420,-29.120,-114.870
0.344,-0.589,0.397,-10.010,-36.330,-123.550
0.327,-0.647,0.380,-9.170,-45.290,-139.440
0.345,-0.484,0.180,-5.250,-41.020,-142.380
0.374,-0.343,0.127,-2.450,-32.690,-136.920
0.385,-0.298,0.133,2.800,-26.180,-135.170
0.414,-0.305,0.177,4.970,-21.910,-137.550
0.430,-0.272,0.156,7.140,-18.690,-139.230
0.440,-0.210,0.150,16.450,-16.170,-139.230
0.442,-0.170,0.126,23.170,-13.860,-137.760
0.430,-0.149,0.084,28.280,-8.190,-135.730
0.409,-0.165,0.069,33.740,-5.670,-135.590
0.394,-0.216,0.023,40.530,-2.590,-141.610
0.384,-0.223,-0.017,41.930,3.220,-146.510
0.381,-0.230,-0.038,40.250,8.330,-150.710
0.417,-0.268,-0.083,32.480,13.720,-160.720
0.447,-0.243,-0.129,19.460,23.870,-176.750
0.436,-0.098,-0.129,12.880,31.710,-180.040
0.423,0.029,-0.148,9.730,39.760,-178.500
0.432,0.111,-0.188,4.690,50.820,-173.880
0.428,0.150,-0.227,1.190,66.010,-165.410
0.398,0.092,-0.190,9.170,74.900,-164.570
0.367,0.078,-0.176,36.960,81.970,-167.230
0.319,0.123,-0.094,41.160,85.540,-169.120
0.291,0.157,-0.130,56.910,91.140,-170.170
0.290,0.172,-0.133,36.470,100.170,-175.420
0.282,0.221,-0.120,54.250,110.880,-178.710
0.270,0.290,-0.014,53.970,116.830,-179.340
0.240,0.346,0.130,56.420,116.830,-177.380
0.244,0.350,0.185,47.740,110.250,-179.060
0.274,0.330,0.147,35.560,105.280,-190.820
0.290,0.449,0.041,29.610,108.150,-192.500
0.250,0.606,0.013,22.050,113.960,-183.330
0.196,0.714,0.020,14.770,122.150,-166.320
0.128,0.723,0.053,17.920,126.840,-149.870
0.088,0.622,0.103,27.440,129.290,-144.480
0.072,0.520,0.156,26.040,130.200,-151.970
0.040,0.551,0.154,27.720,134.120,-155.610
0.038,0.636,0.193,31.360,135.590,-156.380
0.047,0.723,0.168,27.790,135.380,-154.070
0.047,0.803,0.077,38.150,142.380,-147.560
0.013,0.884,0.118,40.740,151.480,-133.000
-0.053,0.875,0.124,37.940,162.400,-124.810
-0.150,0.856,0.161,36.680,179.410,-118.020
-0.294,0.809,0.292,38.850,189.000,-114.590
-0.361,0.735,0.443,50.050,190.260,-139.930
-0.392,0.778,0.512,48.020,191.310,-141.960
-0.434,1.008,0.511,56.000,198.170,-145.880
-0.448,1.226,0.644,49.350,201.320,-141.330
-0.402,1.357,0.748,47.880,196.350,-140.280
-0.399,1.533,0.765,35.980,196.210,-129.500
-0.415,1.814,0.817,39.620,199.500,-104.020
-0.444,1.887,1.007,39.060,190.680,-76.090
-0.468,1.845,1.137,51.100,159.600,-52.500
-0.489,1.767,1.086,41.370,140.070,-34.720
-0.536,1.642,0.965,35.910,128.660,-23.520

-0.565,1.551,0.793,34.930,118.020,-17.780
-0.566,1.477,0.620,25.060,125.580,-17.500
-0.538,1.439,0.725,18.060,132.650,-23.030
-0.556,1.515,0.638,8.190,135.660,-23.170
-0.584,1.587,0.677,-9.660,132.650,-15.400
-0.619,1.514,0.636,-20.020,131.040,-17.150
-0.614,1.490,0.594,-34.650,129.360,-22.330
-0.595,1.594,0.491,-49.770,138.110,-18.830
-0.605,1.721,0.538,-56.630,142.170,-3.220
-0.606,1.803,0.589,-59.290,138.320,30.170
-0.652,1.726,0.541,-57.470,138.670,53.410
-0.692,1.523,0.509,-63.770,150.710,64.400
-0.743,1.283,0.639,-78.400,154.560,59.290
-0.754,1.178,0.763,-119.700,150.920,50.050
-0.745,1.286,0.794,-120.470,145.320,55.720
-0.748,1.377,0.810,-127.540,139.020,68.950
-0.774,1.365,0.791,-128.660,127.400,82.600
-0.843,1.287,0.616,-135.450,127.050,94.080
-0.886,1.156,0.438,-134.960,145.810,102.620
-0.930,1.036,0.512,-132.720,167.720,105.980
-0.972,1.032,0.723,-130.480,180.600,112.210
-1.044,1.053,0.932,-113.820,200.760,124.320
-1.088,0.997,1.233,-88.900,214.620,134.750
-1.099,0.767,1.634,-69.300,212.240,137.620
-1.064,0.793,2.005,-55.090,189.980,133.910
-1.017,0.818,2.265,-57.540,138.180,135.450
-0.943,0.851,2.187,-74.480,98.910,142.450
-0.894,0.761,1.922,-81.620,75.180,148.890
-0.846,0.714,1.676,-87.850,63.000,154.630
-0.809,0.693,1.376,-89.950,55.860,160.860
-0.789,0.671,1.359,-89.460,52.570,167.650
-0.813,0.572,1.368,-120.750,46.690,172.480
-0.773,0.412,1.255,-137.130,44.660,163.940
-0.769,0.305,1.130,-133.840,31.710,152.670
-0.734,0.411,1.067,-139.650,26.390,155.610
-0.699,0.464,0.853,-135.380,39.270,168.350
-0.692,0.308,0.923,-130.200,50.120,168.420
-0.678,0.176,1.099,-133.630,48.020,160.930
-0.659,0.138,1.201,-137.900,37.590,152.740
-0.633,0.193,1.178,-142.100,31.710,150.850
-0.620,0.273,1.134,-142.730,30.310,160.440
-0.654,0.190,1.150,-140.280,28.980,164.990
-0.675,0.039,1.170,-139.860,25.830,162.470
-0.700,-0.094,1.170,-139.300,26.460,154.910
-0.707,-0.202,1.169,-139.440,31.430,135.380
-0.700,-0.239,1.243,-137.760,36.050,119.840
-0.684,-0.184,1.378,-142.380,35.350,106.890
-0.667,-0.081,1.552,-144.900,29.260,101.430
-0.670,0.023,1.675,-145.180,19.740,105.770
-0.694,0.012,1.742,-143.220,7.140,113.050
-0.714,-0.086,1.760,-147.350,-2.660,112.140
-0.752,-0.182,1.766,-152.810,-12.040,105.560
-0.806,-0.213,1.810,-156.520,-18.690,97.510
-0.830,-0.238,1.899,-154.000,-33.460,90.230
-0.852,-0.250,1.930,-147.490,-49.910,81.340
-0.866,-0.270,1.904,-144.340,-63.000,65.870
-0.862,-0.256,1.883,-140.630,-74.060,55.650
